5.000000000000000000e+01,4.059376000000000204e+03,8.280055000000000466e-05,7.107685999999999922e+02,2.570752000000000000e+08,9.641727000000000327e-04,5.026737000000000523e-04,2.285034999999999985e-04,1.232887000000000002e-03,4.056236000000000173e-04,4.049747000000000242e-04,4.391755999999999744e+02,1.466375999999999920e+02,1.462689000000000021e+02,2.356020000000000059e-01,4.268770000000000437e+03,5.112293999999999869e+03,1.534326999999999989e-04,1.008997000000000057e-04,2.727609999999999868e+00
6.000000000000000000e+01,4.716606999999999971e+03,1.463188999999999994e-04,7.277132000000000289e+02,3.951970000000000000e+08,9.719607999999999590e-04,5.286857000000000058e-04,2.191759999999999900e-04,1.263753999999999962e-03,4.160939000000000109e-04,4.149210000000000073e-04,7.155778000000000247e+02,2.392437999999999931e+02,2.381657999999999902e+02,3.438273000000000024e-01,4.598009000000000015e+03,5.245002999999999702e+03,2.294983000000000114e-04,1.411011999999999900e-04,3.006466000000000083e+00
7.000000000000000000e+01,5.302273000000000138e+03,2.476112000000000256e-04,7.359855999999999767e+02,5.590728000000000000e+08,9.915501999999999649e-04,5.608899999999999780e-04,2.127108999999999966e-04,1.317964999999999935e-03,4.344592999999999892e-04,4.324994999999999881e-04,1.072642000000000053e+03,3.593079999999999927e+02,3.566605000000000132e+02,4.908881999999999968e-01,4.886422999999999774e+03,5.370634000000000015e+03,3.202554999999999833e-04,1.845237999999999967e-04,3.252492999999999856e+00
8.000000000000000000e+01,5.735078999999999724e+03,4.308355000000000257e-04,7.391675000000000182e+02,7.457259000000000000e+08,1.021833999999999893e-03,5.952340999999999665e-04,2.105805999999999943e-04,1.382264999999999926e-03,4.564274999999999799e-04,4.533399000000000131e-04,1.510113000000000056e+03,5.071900999999999726e+02,5.014397999999999911e+02,6.990243000000000428e-01,5.136078999999999724e+03,5.486980999999999767e+03,4.251017999999999963e-04,2.309966000000000103e-04,3.459238000000000035e+00
9.000000000000000000e+01,5.985087999999999738e+03,7.893391999999999726e-04,7.394057000000000244e+02,9.523606000000000000e+08,1.064496999999999969e-03,6.300696000000000161e-04,2.144431999999999935e-04,1.450380999999999936e-03,4.799890999999999815e-04,4.753399999999999856e-04,2.025324000000000069e+03,6.826404999999999745e+02,6.712859999999999445e+02,9.922746000000000066e-01,5.348944000000000415e+03,5.592972999999999956e+03,5.435321999999999593e-04,2.805339000000000010e-04,3.623708999999999847e+00
1.000000000000000000e+02,6.059685000000000400e+03,1.471071000000000011e-03,7.378484999999999445e+02,1.176476000000000000e+09,1.123674999999999978e-03,6.645950999999999552e-04,2.267598999999999971e-04,1.518613999999999945e-03,5.039871999999999711e-04,4.972324999999999662e-04,2.613920000000000073e+03,8.850205999999999449e+02,8.643307999999999538e+02,1.395513999999999921e+00,5.528121000000000095e+03,5.688519000000000233e+03,6.750299999999999660e-04,3.331599000000000084e-04,3.746250999999999998e+00
1.200000000000000000e+02,5.807478000000000065e+03,4.575138000000000295e-03,7.317922999999999547e+02,1.668567000000000000e+09,1.308048999999999931e-03,7.311833000000000438e-04,2.857504999999999876e-04,1.647166000000000038e-03,5.508496999999999786e-04,5.377739000000000521e-04,3.989425999999999931e+03,1.366951999999999998e+03,1.310869999999999891e+03,2.627515999999999963e+00,5.802038999999999760e+03,5.850590000000000146e+03,9.747751000000000245e-04,4.474419000000000096e-04,3.880062999999999818e+00
1.400000000000000000e+02,5.261172999999999774e+03,1.129619999999999930e-02,7.239207000000000107e+02,2.206532000000000000e+09,1.582527999999999930e-03,7.933153000000000513e-04,3.921716999999999911e-04,1.759237999999999991e-03,5.946136000000000086e-04,5.717906999999999938e-04,5.590875000000000000e+03,1.944587999999999965e+03,1.822323000000000093e+03,4.561416000000000359e+00,5.992011999999999716e+03,5.979780999999999949e+03,1.318617000000000010e-03,5.725117999999999960e-04,3.902569000000000177e+00
1.600000000000000000e+02,4.637961000000000240e+03,2.278772000000000089e-02,7.150575999999999794e+02,2.776379000000000000e+09,1.911355999999999906e-03,8.502458999999999972e-04,5.284982000000000351e-04,1.853526999999999996e-03,6.349383999999999584e-04,5.987638000000000422e-04,7.375037999999999556e+03,2.608222999999999956e+03,2.381907999999999902e+03,7.312659000000000020e+00,6.126525999999999840e+03,6.083157000000000153e+03,1.700019000000000096e-03,7.059465000000000011e-04,3.858261000000000163e+00
1.800000000000000000e+02,4.049760999999999967e+03,3.954302999999999985e-02,7.049841000000000122e+02,3.365289000000000000e+09,2.244317999999999921e-03,9.014663999999999924e-04,6.698370999999999839e-04,1.931411000000000065e-03,6.719272999999999999e-04,6.192946999999999645e-04,9.304962999999999738e+03,3.347364000000000033e+03,2.976398999999999887e+03,1.094445999999999941e+01,6.225247000000000298e+03,6.166640999999999622e+03,2.112433999999999840e-03,8.449459000000000310e-04,3.780352000000000157e+00
1.850000000000000000e+02,3.913927000000000135e+03,4.455172999999999772e-02,7.022241999999999962e+02,3.514156000000000000e+09,2.323449999999999908e-03,9.133389999999999911e-04,7.035923999999999824e-04,1.948559000000000098e-03,6.806612000000000079e-04,6.235331999999999680e-04,9.806540000000000873e+03,3.542693000000000211e+03,3.129264999999999873e+03,1.199291999999999980e+01,6.245917000000000371e+03,6.184966000000000349e+03,2.219665999999999913e-03,8.802566000000000383e-04,3.758249999999999869e+00
1.900000000000000000e+02,3.783168000000000120e+03,4.987727000000000133e-02,6.993564000000000078e+02,3.663362000000000000e+09,2.400090000000000123e-03,9.248331000000000477e-04,7.362923999999999641e-04,1.964846000000000127e-03,6.891901999999999664e-04,6.274469000000000183e-04,1.031489999999999964e+04,3.741909999999999854e+03,3.283568000000000211e+03,1.309754000000000040e+01,6.265291000000000167e+03,6.202399000000000342e+03,2.328376000000000057e-03,9.157192000000000196e-04,3.735576000000000008e+00
1.950000000000000000e+02,3.657572999999999865e+03,5.551107999999999737e-02,6.963768000000000029e+02,3.812766000000000000e+09,2.473958999999999967e-03,9.359481999999999914e-04,7.677978000000000233e-04,1.980305999999999820e-03,6.975138000000000301e-04,6.310525999999999896e-04,1.082965999999999985e+04,3.944851999999999862e+03,3.439193999999999960e+03,1.425802000000000014e+01,6.283493000000000393e+03,6.218993000000000393e+03,2.438479999999999814e-03,9.513015000000000533e-04,3.712508000000000141e+00
